"Date","Price","Open","High","Low","Vol.","Change %"
"May 16, 2016","310.00","310.00","310.00","310.00","-","-1.59%"
"May 13, 2016","315.00","315.00","315.00","315.00","-","0.00%"
"May 12, 2016","315.00","315.00","315.00","315.00","-","0.00%"
"May 11, 2016","315.00","315.00","315.00","315.00","-","0.00%"
"May 10, 2016","315.00","315.00","315.00","315.00","-","0.64%"
"May 09, 2016","313.00","313.00","313.00","313.00","-","-0.63%"
"May 06, 2016","315.00","315.00","315.00","315.00","-","0.00%"
"May 05, 2016","315.00","315.00","315.00","315.00","-","0.32%"
"May 04, 2016","314.00","314.00","314.00","314.00","0.01K","0.00%"
"May 03, 2016","314.00","314.00","314.00","314.00","0.01K","14.52%"
"Apr 29, 2016","274.19","274.19","274.19","274.19","-","-0.29%"
"Apr 28, 2016","275.00","275.00","275.00","275.00","-","0.00%"
"Apr 27, 2016","275.00","275.00","275.00","275.00","0.03K","-0.36%"
"Apr 26, 2016","276.00","276.00","276.00","276.00","0.01K","0.00%"
"Apr 25, 2016","276.00","276.00","276.00","276.00","-","0.00%"
"Apr 22, 2016","276.00","276.00","276.00","276.00","0.01K","0.00%"
"Apr 21, 2016","276.00","276.00","276.00","276.00","0.01K","1.10%"
"Apr 20, 2016","273.00","273.00","273.00","273.00","-","1.87%"
"Apr 19, 2016","268.00","268.00","268.00","268.00","-","0.75%"
"Apr 18, 2016","266.00","266.00","266.00","266.00","-","0.00%"
"Apr 15, 2016","266.00","266.00","266.00","266.00","-","0.00%"
"Apr 14, 2016","266.00","266.00","266.00","266.00","-","0.64%"
"Apr 13, 2016","264.31","264.31","264.31","264.31","0.09K","4.06%"
"Apr 12, 2016","254.00","254.00","254.00","254.00","-","0.00%"
"Apr 11, 2016","254.00","254.00","254.00","254.00","-","0.59%"
"Apr 08, 2016","252.50","252.50","252.50","252.50","0.04K","3.06%"
"Apr 07, 2016","245.00","245.00","245.00","245.00","-","0.41%"
"Apr 06, 2016","244.00","244.00","244.00","244.00","-","0.41%"
"Apr 05, 2016","243.00","243.00","243.00","243.00","-","0.00%"
"Apr 04, 2016","243.00","243.00","243.00","243.00","0.02K","1.25%"
"Apr 01, 2016","240.00","240.00","240.00","240.00","0.00K","11.01%"
"Mar 31, 2016","216.19","216.19","216.19","216.19","-","-0.83%"
"Mar 30, 2016","218.00","218.00","218.00","218.00","-","0.00%"
"Mar 29, 2016","218.00","218.00","218.00","218.00","-","0.00%"
"Mar 24, 2016","218.00","218.00","218.00","218.00","-","0.00%"
"Mar 23, 2016","218.00","218.00","218.00","218.00","0.00K","0.46%"
"Mar 22, 2016","217.00","217.00","217.00","217.00","-","0.00%"
"Mar 21, 2016","217.00","217.00","217.00","217.00","0.00K","0.93%"
"Mar 18, 2016","215.00","215.00","215.00","215.00","0.03K","1.90%"
"Mar 17, 2016","211.00","211.00","211.00","211.00","0.19K","2.43%"
"Mar 16, 2016","206.00","206.00","206.00","206.00","-","0.00%"
"Mar 15, 2016","206.00","206.00","206.00","206.00","-","0.00%"
"Mar 14, 2016","206.00","206.00","206.00","206.00","-","-1.90%"
"Mar 11, 2016","210.00","210.00","210.00","210.00","0.03K","1.94%"
"Mar 10, 2016","206.00","206.00","206.00","206.00","0.03K","1.73%"
"Mar 09, 2016","202.50","202.50","202.50","202.50","-","0.25%"
"Mar 08, 2016","202.00","202.00","202.00","202.00","0.08K","1.00%"
"Mar 07, 2016","200.00","200.00","200.00","200.00","0.03K","5.26%"
"Mar 04, 2016","190.00","190.00","190.00","190.00","0.03K","1.06%"
"Mar 03, 2016","188.00","188.00","188.00","188.00","0.00K","2.45%"
"Mar 02, 2016","183.50","183.50","183.50","183.50","0.00K","0.27%"
"Mar 01, 2016","183.00","183.00","183.00","183.00","0.03K","3.36%"
"Feb 29, 2016","177.05","177.05","177.05","177.05","-","0.03%"
"Feb 26, 2016","177.00","177.00","177.00","177.00","-","0.00%"
"Feb 25, 2016","177.00","177.00","177.00","177.00","-","0.00%"
"Feb 24, 2016","177.00","177.00","177.00","177.00","-","0.00%"
"Feb 23, 2016","177.00","177.00","177.00","177.00","-","0.00%"
"Feb 22, 2016","177.00","177.00","177.00","177.00","-","0.00%"
"Feb 19, 2016","177.00","177.00","177.00","177.00","-","0.00%"
"Feb 18, 2016","177.00","177.00","177.00","177.00","-","0.00%"
"Feb 17, 2016","177.00","177.00","177.00","177.00","-","0.00%"
"Feb 16, 2016","177.00","177.00","177.00","177.00","-","0.00%"
"Feb 15, 2016","177.00","177.00","177.00","177.00","-","0.00%"
