"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 08, 2009","4,963.50","4,963.50","4,963.50","4,963.50","-","0.01%"
"Jun 05, 2009","4,963.00","4,963.00","4,963.00","4,963.00","-","-0.90%"
"Jun 04, 2009","5,008.25","5,008.25","5,008.25","5,008.25","-","2.12%"
"Jun 03, 2009","4,904.50","4,904.50","4,904.50","4,904.50","-","-2.61%"
"Jun 02, 2009","5,036.00","5,036.00","5,036.00","5,036.00","-","-0.54%"
"Jun 01, 2009","5,063.25","5,063.25","5,063.25","5,063.25","-","5.07%"
"May 29, 2009","4,819.00","4,819.00","4,819.00","4,819.00","-","1.66%"
"May 28, 2009","4,740.50","4,740.50","4,740.50","4,740.50","-","1.72%"
"May 27, 2009","4,660.50","4,660.50","4,660.50","4,660.50","-","-0.03%"
"May 26, 2009","4,662.00","4,662.00","4,662.00","4,662.00","-","1.18%"
"May 22, 2009","4,607.50","4,607.50","4,607.50","4,607.50","-","3.30%"
"May 21, 2009","4,460.25","4,460.25","4,460.25","4,460.25","-","-1.07%"
"May 18, 2009","4,508.50","4,508.50","4,508.50","4,508.50","-","1.38%"
"May 15, 2009","4,447.00","4,447.00","4,447.00","4,447.00","-","0.14%"
"May 14, 2009","4,441.00","4,441.00","4,441.00","4,441.00","-","0.29%"
"May 13, 2009","4,428.25","4,428.25","4,428.25","4,428.25","-","-3.23%"
"May 12, 2009","4,576.25","4,576.25","4,576.25","4,576.25","-","0.70%"
"May 11, 2009","4,544.50","4,544.50","4,544.50","4,544.50","-","-2.69%"
"May 08, 2009","4,670.00","4,670.00","4,670.00","4,670.00","-","-0.71%"
"May 07, 2009","4,703.50","4,703.50","4,703.50","4,703.50","-","-0.93%"
"May 06, 2009","4,747.50","4,747.50","4,747.50","4,747.50","-","4.72%"
"May 05, 2009","4,533.50","4,533.50","4,533.50","4,533.50","-","-1.63%"
"May 01, 2009","4,608.50","4,608.50","4,608.50","4,608.50","-","3.87%"
"Apr 30, 2009","4,436.75","4,436.75","4,436.75","4,436.75","-","1.40%"
"Apr 29, 2009","4,375.50","4,375.50","4,375.50","4,375.50","-","4.51%"
"Apr 28, 2009","4,186.50","4,186.50","4,186.50","4,186.50","-","-3.77%"
"Apr 27, 2009","4,350.50","4,350.50","4,350.50","4,350.50","-","-2.96%"
"Apr 24, 2009","4,483.00","4,483.00","4,483.00","4,483.00","-","3.19%"
"Apr 23, 2009","4,344.50","4,344.50","4,344.50","4,344.50","-","-4.56%"
"Apr 22, 2009","4,552.00","4,552.00","4,552.00","4,552.00","-","0.80%"
"Apr 21, 2009","4,516.00","4,516.00","4,516.00","4,516.00","-","-1.63%"
"Apr 20, 2009","4,591.00","4,591.00","4,591.00","4,591.00","-","-4.75%"
"Apr 17, 2009","4,820.00","4,820.00","4,820.00","4,820.00","-","1.90%"
"Apr 16, 2009","4,730.00","4,730.00","4,730.00","4,730.00","-","4.43%"
"Apr 09, 2009","4,529.25","4,529.25","4,529.25","4,529.25","-","3.65%"
"Apr 08, 2009","4,369.75","4,369.75","4,369.75","4,369.75","-","0.41%"
"Apr 07, 2009","4,351.75","4,351.75","4,351.75","4,351.75","-","2.52%"
"Apr 06, 2009","4,244.75","4,244.75","4,244.75","4,244.75","-","-0.79%"
"Apr 03, 2009","4,278.75","4,278.75","4,278.75","4,278.75","-","3.74%"
"Apr 02, 2009","4,124.50","4,124.50","4,124.50","4,124.50","-","2.30%"
"Apr 01, 2009","4,031.75","4,031.75","4,031.75","4,031.75","-","0.53%"
"Mar 31, 2009","4,010.50","4,010.50","4,010.50","4,010.50","-","3.38%"
"Mar 30, 2009","3,879.25","3,879.25","3,879.25","3,879.25","-","-3.54%"
"Mar 27, 2009","4,021.75","4,021.75","4,021.75","4,021.75","-","-0.87%"
"Mar 26, 2009","4,057.25","4,057.25","4,057.25","4,057.25","-","3.06%"
"Mar 25, 2009","3,936.75","3,936.75","3,936.75","3,936.75","-","-0.28%"
"Mar 24, 2009","3,948.00","3,948.00","3,948.00","3,948.00","-","-2.11%"
"Mar 23, 2009","4,033.00","4,033.00","4,033.00","4,033.00","-","2.58%"
"Mar 20, 2009","3,931.50","3,931.50","3,931.50","3,931.50","-","-1.09%"
"Mar 19, 2009","3,975.00","3,975.00","3,975.00","3,975.00","-","4.58%"
"Mar 16, 2009","3,800.75","3,800.75","3,800.75","3,800.75","-","4.39%"
"Mar 13, 2009","3,641.00","3,641.00","3,641.00","3,641.00","-","2.58%"
"Mar 12, 2009","3,549.50","3,549.50","3,549.50","3,549.50","-","-0.30%"
"Mar 11, 2009","3,560.25","3,560.25","3,560.25","3,560.25","-","-3.58%"
"Mar 10, 2009","3,692.25","3,692.25","3,692.25","3,692.25","-","3.00%"
"Mar 09, 2009","3,584.75","3,584.75","3,584.75","3,584.75","-","-3.07%"
"Mar 06, 2009","3,698.25","3,698.25","3,698.25","3,698.25","-","0.89%"
"Mar 05, 2009","3,665.50","3,665.50","3,665.50","3,665.50","-","-1.68%"
"Mar 04, 2009","3,728.00","3,728.00","3,728.00","3,728.00","-","5.91%"
"Mar 03, 2009","3,520.00","3,520.00","3,520.00","3,520.00","-","4.69%"
"Mar 02, 2009","3,362.25","3,362.25","3,362.25","3,362.25","-","-1.88%"
"Feb 27, 2009","3,426.50","3,426.50","3,426.50","3,426.50","-","-1.45%"
"Feb 26, 2009","3,477.00","3,477.00","3,477.00","3,477.00","-","2.70%"
"Feb 25, 2009","3,385.75","3,385.75","3,385.75","3,385.75","-","3.87%"
"Feb 24, 2009","3,259.50","3,259.50","3,259.50","3,259.50","-","1.68%"
"Feb 23, 2009","3,205.75","3,205.75","3,205.75","3,205.75","-","2.58%"
"Feb 20, 2009","3,125.25","3,125.25","3,125.25","3,125.25","-","-4.29%"
"Feb 19, 2009","3,265.25","3,265.25","3,265.25","3,265.25","-","-0.77%"
"Feb 16, 2009","3,290.75","3,290.75","3,290.75","3,290.75","-","-3.00%"
"Feb 13, 2009","3,392.50","3,392.50","3,392.50","3,392.50","-","0.43%"
"Feb 12, 2009","3,378.00","3,378.00","3,378.00","3,378.00","-","-1.32%"
"Feb 11, 2009","3,423.25","3,423.25","3,423.25","3,423.25","-","-0.78%"
"Feb 10, 2009","3,450.00","3,450.00","3,450.00","3,450.00","-","-2.74%"
"Feb 09, 2009","3,547.25","3,547.25","3,547.25","3,547.25","-","1.06%"
"Feb 06, 2009","3,510.00","3,510.00","3,510.00","3,510.00","-","6.36%"
"Feb 05, 2009","3,300.25","3,300.25","3,300.25","3,300.25","-","-2.53%"
"Feb 04, 2009","3,386.00","3,386.00","3,386.00","3,386.00","-","1.24%"
"Feb 03, 2009","3,344.50","3,344.50","3,344.50","3,344.50","-","6.28%"
"Feb 02, 2009","3,146.75","3,146.75","3,146.75","3,146.75","-","0.67%"
"Jan 30, 2009","3,125.75","3,125.75","3,125.75","3,125.75","-","-2.37%"
"Jan 29, 2009","3,201.50","3,201.50","3,201.50","3,201.50","-","-3.06%"
"Jan 28, 2009","3,302.50","3,302.50","3,302.50","3,302.50","-","0.59%"
"Jan 27, 2009","3,283.00","3,283.00","3,283.00","3,283.00","-","-6.97%"
"Jan 26, 2009","3,529.00","3,529.00","3,529.00","3,529.00","-","9.37%"
"Jan 23, 2009","3,226.75","3,226.75","3,226.75","3,226.75","-","5.29%"
"Jan 22, 2009","3,064.75","3,064.75","3,064.75","3,064.75","-","-9.79%"
"Jan 19, 2009","3,397.50","3,397.50","3,397.50","3,397.50","-","2.23%"
"Jan 16, 2009","3,323.50","3,323.50","3,323.50","3,323.50","-","2.31%"
"Jan 15, 2009","3,248.50","3,248.50","3,248.50","3,248.50","-","-0.17%"
"Jan 14, 2009","3,254.00","3,254.00","3,254.00","3,254.00","-","-2.48%"
"Jan 13, 2009","3,336.75","3,336.75","3,336.75","3,336.75","-","3.89%"
"Jan 12, 2009","3,211.75","3,211.75","3,211.75","3,211.75","-","-4.72%"
